index,global_time_seconds,review_reel_time_seconds,subject,source,nearest_candidate_global_seconds,nearest_candidate_decision,nearest_candidate_delta_seconds
1,20.793912,14.793912,737 MAX,full_band_rms_peak_diagnostic_not_candidate_decision,20.793912,confirmed_bass_drum_hit,0.0
2,21.242891,15.242891,737 MAX,full_band_rms_peak_diagnostic_not_candidate_decision,21.242891,confirmed_bass_drum_hit,0.0
3,22.145839,16.145839,737 MAX,full_band_rms_peak_diagnostic_not_candidate_decision,22.145839,confirmed_bass_drum_hit,0.0
4,23.203435,17.203435,737 MAX,full_band_rms_peak_diagnostic_not_candidate_decision,23.203435,confirmed_bass_drum_hit,0.0
5,23.652415,17.652415,737 MAX,full_band_rms_peak_diagnostic_not_candidate_decision,23.652415,confirmed_bass_drum_hit,0.0
