frame,relative_time_seconds,global_time_seconds,pulse,energy_norm
0,0.000000,6.000000,0.230787,0.387926
1,0.041667,6.041667,0.346300,0.673692
2,0.083333,6.083333,0.418729,0.666951
3,0.125000,6.125000,0.429464,0.699019
4,0.166667,6.166667,0.407089,0.714358
5,0.208333,6.208333,0.369332,0.703912
6,0.250000,6.250000,0.330077,0.693736
7,0.291667,6.291667,0.296418,0.723483
8,0.333333,6.333333,0.268518,0.898373
9,0.375000,6.375000,0.243741,0.972153
10,0.416667,6.416667,0.220048,0.911331
11,0.458333,6.458333,0.196587,0.814730
12,0.500000,6.500000,0.173490,0.733211
13,0.541667,6.541667,0.151450,0.678947
14,0.583333,6.583333,0.136329,0.620598
15,0.625000,6.625000,0.140518,0.545558
16,0.666667,6.666667,0.179084,0.367317
17,0.708333,6.708333,0.263611,0.188717
18,0.750000,6.750000,0.381634,0.402336
19,0.791667,6.791667,0.498084,0.920617
20,0.833333,6.833333,0.577505,0.980885
21,0.875000,6.875000,0.597319,0.901871
22,0.916667,6.916667,0.566076,0.738100
23,0.958333,6.958333,0.514370,0.485921
24,1.000000,7.000000,0.469018,0.301778
25,1.041667,7.041667,0.441822,0.377057
26,1.083333,7.083333,0.427094,0.677016
27,1.125000,7.125000,0.412290,0.736532
28,1.166667,7.166667,0.387852,0.659231
29,1.208333,7.208333,0.353058,0.641706
30,1.250000,7.250000,0.314085,0.632225
31,1.291667,7.291667,0.276626,0.611350
32,1.333333,7.333333,0.244250,0.604332
33,1.375000,7.375000,0.217549,0.610789
34,1.416667,7.416667,0.195064,0.667569
35,1.458333,7.458333,0.176751,0.649986
36,1.500000,7.500000,0.167508,0.621597
37,1.541667,7.541667,0.177077,0.642396
38,1.583333,7.583333,0.216873,0.575072
39,1.625000,7.625000,0.291155,0.361808
40,1.666667,7.666667,0.384884,0.643744
41,1.708333,7.708333,0.470139,0.980315
42,1.750000,7.750000,0.521171,0.955840
43,1.791667,7.791667,0.525270,0.863973
44,1.833333,7.833333,0.491399,0.806912
45,1.875000,7.875000,0.439454,0.782605
46,1.916667,7.916667,0.385387,0.757532
47,1.958333,7.958333,0.338142,0.746801
48,2.000000,8.000000,0.299297,0.778973
49,2.041667,8.041667,0.267012,0.804221
50,2.083333,8.083333,0.239671,0.803806
51,2.125000,8.125000,0.215981,0.801947
52,2.166667,8.166667,0.194774,0.777219
53,2.208333,8.208333,0.174644,0.745369
54,2.250000,8.250000,0.153907,0.757736
55,2.291667,8.291667,0.131298,0.753909
56,2.333333,8.333333,0.107032,0.551678
57,2.375000,8.375000,0.082979,0.219412
58,2.416667,8.416667,0.061939,0.076233
59,2.458333,8.458333,0.046431,0.043612
60,2.500000,8.500000,0.037833,0.033555
61,2.541667,8.541667,0.040497,0.030279
62,2.583333,8.583333,0.062894,0.048886
63,2.625000,8.625000,0.114383,0.279511
64,2.666667,8.666667,0.201215,0.365883
65,2.708333,8.708333,0.310590,0.573742
66,2.750000,8.750000,0.412740,0.933689
67,2.791667,8.791667,0.479327,0.948582
68,2.833333,8.833333,0.492051,0.864107
69,2.875000,8.875000,0.456617,0.679591
70,2.916667,8.916667,0.396084,0.389632
71,2.958333,8.958333,0.332227,0.139933
72,3.000000,9.000000,0.284700,0.091872
73,3.041667,9.041667,0.268563,0.246575
74,3.083333,9.083333,0.293968,0.202677
75,3.125000,9.125000,0.363118,0.102738
76,3.166667,9.166667,0.457408,0.565334
77,3.208333,9.208333,0.543807,0.957521
78,3.250000,9.250000,0.592187,0.945835
79,3.291667,9.291667,0.589483,0.843468
80,3.333333,9.333333,0.550854,0.662655
81,3.375000,9.375000,0.506473,0.412709
82,3.416667,9.416667,0.480924,0.241303
83,3.458333,9.458333,0.479654,0.516496
84,3.500000,9.500000,0.489314,0.786577
85,3.541667,9.541667,0.492857,0.631133
86,3.583333,9.583333,0.478140,0.454947
87,3.625000,9.625000,0.445244,0.736226
88,3.666667,9.666667,0.402676,0.952187
89,3.708333,9.708333,0.356840,0.911822
90,3.750000,9.750000,0.311855,0.794075
91,3.791667,9.791667,0.269566,0.725478
92,3.833333,9.833333,0.230883,0.661890
93,3.875000,9.875000,0.200508,0.455073
94,3.916667,9.916667,0.186550,0.388120
95,3.958333,9.958333,0.197604,0.447389
96,4.000000,10.000000,0.239821,0.438913
97,4.041667,10.041667,0.304950,0.529443
98,4.083333,10.083333,0.371356,0.853814
99,4.125000,10.125000,0.417574,0.977283
100,4.166667,10.166667,0.428549,0.941313
