#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, b25c321756506a49f69f7af2752a8800
0,          1,          1,        1,    86400, 53eea579ec9ff68d7440b0e9bbb14d9d
0,          2,          2,        1,    86400, 3b6f626f54c9675bae7acf760bf982db
0,          3,          3,        1,    86400, 2cec71d24954b0c7ff395f4577058e18
0,          4,          4,        1,    86400, c299fafcdfc56cf1751298093ac7a2e8
0,          5,          5,        1,    86400, e89cd2ed42a3edd0178f6b93f0076e22
0,          6,          6,        1,    86400, a969480bf04a468820b344f9e02644cb
0,          7,          7,        1,    86400, 2f670dc92f2f7bd7d52f967b8c8655c2
0,          8,          8,        1,    86400, 19bb1ebae743c9ebeaa91fd370718f15
0,          9,          9,        1,    86400, 9a5ea99d690a28fc7e6bc4d89e8b53bb
0,         10,         10,        1,    86400, a4bf852318196acad52e5bec8fed73c7
0,         11,         11,        1,    86400, c6016e3c82c385ec8de92d770e230693
