#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, 595dbecf0371420ec2fd248f2e213764
0,          1,          1,        1,    86400, 3eb7427d666d7c872c3a9b18bf5d7807
0,          2,          2,        1,    86400, 805614e09864d8d252bfb65a52b9c88c
0,          3,          3,        1,    86400, 5e813a7486c9639f056276bf0b38813b
0,          4,          4,        1,    86400, 71b23032b6455e7a4fa23b8173dc73d0
0,          5,          5,        1,    86400, 123bdcd9cc1f373f3bf5bab1bb231ecf
0,          6,          6,        1,    86400, ced83a71423cf18e311b8e7c29b3d0f9
0,          7,          7,        1,    86400, 41ecec244b5e43b01f43a7ee99780708
0,          8,          8,        1,    86400, bc09ef913df4a6956d49b972d22f25e8
0,          9,          9,        1,    86400, 99b59f5d67903bc56dc7f4e157adbea9
0,         10,         10,        1,    86400, 4f295272ec14f00bb300b44bd66b83f5
0,         11,         11,        1,    86400, fa55357f38ee35dad8713eea0abf4be0
