#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, cbc9749ad6aeae3f85c213bc0a7d32d1
0,          1,          1,        1,    86400, cf1019ae1b8ca2f5fd093b2eed3c4e07
0,          2,          2,        1,    86400, dfd7301c2dffaa561dee9727eaee469f
0,          3,          3,        1,    86400, 10195e36e7fb924436b088255725b3b3
0,          4,          4,        1,    86400, 3fa4409db824195bdd9c2681b86a2b82
0,          5,          5,        1,    86400, 400d8be88dd0b4982cbf7d24e42c216c
0,          6,          6,        1,    86400, 7a901bc223dbb50a86f32b858e1082f3
0,          7,          7,        1,    86400, 8a1e7e24fba265766fcffd520098fbac
0,          8,          8,        1,    86400, 520ae89139089db45b77e75a5eaa66fb
0,          9,          9,        1,    86400, f53072f20c023a2b7b9d37dae1aae604
0,         10,         10,        1,    86400, 8831e8e6bdfda11580ec261fc34aec12
0,         11,         11,        1,    86400, 75021f5f734a894ec192a1d9d3a4b116
