#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, 6ba7a0fd1b92f531e98c57a46222281a
0,          1,          1,        1,    86400, 653935fb1a4456e0f87ca1707684360b
0,          2,          2,        1,    86400, f1a5738b9fcfaeb7f9ad00cb4bbf448f
0,          3,          3,        1,    86400, deac6421b98b93e48321bb2414b75cab
0,          4,          4,        1,    86400, c12208eab2041f17ce743d3dc39ad6a1
0,          5,          5,        1,    86400, 3ca61f72296fb18a4564f0816146958c
0,          6,          6,        1,    86400, 5fe8258cd0eaf9d78dec9f36595b9343
0,          7,          7,        1,    86400, 3e713ce110e6d6e0ccb14687acb846a4
0,          8,          8,        1,    86400, 6d029e009c8fb40d3adeb01d06bd76f2
0,          9,          9,        1,    86400, c935c2df621a4b4471cf710bd5ad3fc9
0,         10,         10,        1,    86400, cbf69cc7ec25d1425c02ad55594e136d
0,         11,         11,        1,    86400, 93440bf6611464d6edc4a89aeaf73c60
