#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, 891a16b6d57919b2c9d1c932e7c3716b
0,          1,          1,        1,    86400, d67cc39156b32385bb3be8c89ea1ef56
0,          2,          2,        1,    86400, fc8dfdfb061c9096d838ca551723b3fc
0,          3,          3,        1,    86400, 1234a89c145c7328560f1c2340b419ea
0,          4,          4,        1,    86400, 2a1ec092b28510ac8754d734b8d8e818
0,          5,          5,        1,    86400, df46c661a6517b6cdeba31559b79c3a9
0,          6,          6,        1,    86400, 8f5f3d24ebbc82da057c4369a1953b26
0,          7,          7,        1,    86400, 282793158bc36b788096f5c750d141aa
0,          8,          8,        1,    86400, 4eb4967576cdfdb87e805349c2b33ead
0,          9,          9,        1,    86400, 7d6d8211da28484a00bcb1c2fa78805c
0,         10,         10,        1,    86400, ea08e6f9a8626d66e2a2ba41143a7b2e
0,         11,         11,        1,    86400, 28c1f94ca2c72d3b8e6bbb7492e7a41d
