#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, 0a30e32c785ff132589c20f7b9987e4e
0,          1,          1,        1,    86400, 3ad62852b6a801680d31667eb24f8faa
0,          2,          2,        1,    86400, f4b4114db65495a21150b505f88f6f4f
0,          3,          3,        1,    86400, 77660f25915644b0c6f9a6e307a6956e
0,          4,          4,        1,    86400, 7cf78f542ee28fedad7957e71ca9f9bb
0,          5,          5,        1,    86400, 3405a9c37c3fc405840972451b434393
0,          6,          6,        1,    86400, 3f068a182f554091784b9f45fceec1ae
0,          7,          7,        1,    86400, 577c965cae71455b9bf833d1e84c73f9
