#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, 66c8559ade9fbd18e6592cf91eb68379
0,          1,          1,        1,    86400, 54d3d1ab403cc98083477093aee98a87
0,          2,          2,        1,    86400, 446e317ad855f03324ab127f46b93070
0,          3,          3,        1,    86400, 5ddc1fe1002e593233981955fd37067f
0,          4,          4,        1,    86400, 0ac0f438ef83ac61bc14f622f3129821
0,          5,          5,        1,    86400, dd0828f7395a61ff96bae8347cacd402
0,          6,          6,        1,    86400, 2ae39d3afd406a4e016005f2f337f1df
0,          7,          7,        1,    86400, bff7f1af52a44ed918b792227795cc24
0,          8,          8,        1,    86400, 12795fd51295f1011a11f6fd7a61557a
0,          9,          9,        1,    86400, fa787e4c15e49e9b87407df2fafd99b5
0,         10,         10,        1,    86400, 00cb2e210db0b6590d7378a7af162b81
0,         11,         11,        1,    86400, 713a15173cb5ac370ad88bca4e146ed7
