#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, 6abc825a302d75ad8027d4d0374f0da4
0,          1,          1,        1,    86400, c61855551eef96b721737a7adf893446
0,          2,          2,        1,    86400, 3bc80c75e8aea586dd3a3635962471c5
0,          3,          3,        1,    86400, 0057edc5f098244804afabcda46a2f9c
0,          4,          4,        1,    86400, 8854188a3989e762eb5aef8699e47b76
0,          5,          5,        1,    86400, 1b386bdc22df5479a5b386e52936d348
0,          6,          6,        1,    86400, c69669b353166263f2d396e66664118e
0,          7,          7,        1,    86400, 3f3d34ff8499382aaf053245afc51e04
0,          8,          8,        1,    86400, 4fc4ee6981cb22741f10c5d293ad3483
0,          9,          9,        1,    86400, b70225295bc90f56106b76654685a35d
0,         10,         10,        1,    86400, 178ec8e9957cd6f7d9d4296e3efc145f
0,         11,         11,        1,    86400, e5d71071048215b9090172230e1c8eaf
