#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, 778f32c81db3f0844b85d9e5130ba914
0,          1,          1,        1,    86400, 44a03e0b6ce425a9ed65695429c9b855
0,          2,          2,        1,    86400, 01ec7169930e8e8616daaa047386371d
0,          3,          3,        1,    86400, 0286d57328fce6b5eea7294e039f4b28
0,          4,          4,        1,    86400, 33912f782948b234ed379fa4f879203b
0,          5,          5,        1,    86400, d7207b02870bdf14df6ab5dfb8dfe6cc
0,          6,          6,        1,    86400, 9967cb212858be4be231863c5352a414
0,          7,          7,        1,    86400, 9c3f5122928c27383cf4a8a2b721b28b
