#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, 5ef796ab36483ee69e527e42f8c7ba6e
0,          1,          1,        1,    86400, 063a27caea19f05a53c8f04e2e3f107f
0,          2,          2,        1,    86400, 7837b864ff2c6184335251bd49df57e6
0,          3,          3,        1,    86400, 345653225f40fcdcfd73383b0b25e3fe
0,          4,          4,        1,    86400, da835f547512bda6bfb2c54e61d5b110
0,          5,          5,        1,    86400, 49cb3c100e0d478b872d40a64fa3fefb
0,          6,          6,        1,    86400, 5d006da554815ac47f13d9c6cf333938
0,          7,          7,        1,    86400, 604cb8f7efbd8170eb4c34b448cbc91b
