#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, dadfa590281ced946f87b3de767f5668
0,          1,          1,        1,    86400, 55d33849defea3b840b75fd4420875fa
0,          2,          2,        1,    86400, 0630ee823ce8343e1f33ba0f2cd2d781
0,          3,          3,        1,    86400, 9afaabe85276cf6a78a9e9df227ec8ce
0,          4,          4,        1,    86400, 071f24122e1412de1c1efa224d1a9861
0,          5,          5,        1,    86400, e2759671ab404db644654cfb62cd978d
0,          6,          6,        1,    86400, 56e2c25cc09413b3dd3fdeaf28b37804
0,          7,          7,        1,    86400, 14cf242feb9180fb43ae67f28c86e8cb
0,          8,          8,        1,    86400, 161f84c3d204aeea7d5dd73219c6571f
0,          9,          9,        1,    86400, 4927b9acb629df17a7c87738c5d3d43e
0,         10,         10,        1,    86400, 63908191ab5e66b4e02d3074f364c1e7
0,         11,         11,        1,    86400, dd930e9d41aafe4a4635625bd7dce951
