#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, 968950a81305cd3bdafb539adebc321f
0,          1,          1,        1,    86400, fcb0ec8dbd3fe57a5eeff179b2aeff87
0,          2,          2,        1,    86400, 5348b8a9f3e3b2ef04c42a1ea4290187
0,          3,          3,        1,    86400, 5df1ac705bbea4db411a42e056d95080
0,          4,          4,        1,    86400, 2e113e7dec0982007503f03556872164
0,          5,          5,        1,    86400, fbb7bc4a36e81a348c567da678173910
0,          6,          6,        1,    86400, abe297ed17bd913b048783dc32348b82
0,          7,          7,        1,    86400, 551bbd26627816ac43b682e4aa8296fa
0,          8,          8,        1,    86400, c4848ab3d3ef9da6ee7263fc8b8ff7e8
0,          9,          9,        1,    86400, 7d8159c4e094e24a2cb232de440d6b0a
0,         10,         10,        1,    86400, dbc92ad3a155408e3cb0285d1d1f519f
0,         11,         11,        1,    86400, 94f5fbba2dea7f591a4570db7d963806
