#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, f3293db75135c19fb9db3a161446cd92
0,          1,          1,        1,    86400, 0d62559811d60ce60972102b977fd4ac
0,          2,          2,        1,    86400, de88137fdec9aac5496cdc9651bb09f0
0,          3,          3,        1,    86400, c6079ada78a8c137243f02a0d5a205ee
0,          4,          4,        1,    86400, be59365df0647cb2825e252689e6b939
0,          5,          5,        1,    86400, ca4d4d5003384055c98f8753934cbbbc
0,          6,          6,        1,    86400, 3fe8d0d0e313c4d4bba49a64b01929a9
0,          7,          7,        1,    86400, 37d508d0406c3966c4feaba0210c0787
