#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, 5358d8628802bd0bd906d3dd7569814c
0,          1,          1,        1,    86400, 14f4b4cd1148ffe53157ee7ffbbac97c
0,          2,          2,        1,    86400, abf7f994a30ba06d8188d68312d9c1ee
0,          3,          3,        1,    86400, 328d4f6a7e2e072e9b99dccdd6cd619c
0,          4,          4,        1,    86400, 98c752a22b99f2d848b66ba6718a613d
0,          5,          5,        1,    86400, 0381cd3fc92ab7fda3ca535aef61b868
0,          6,          6,        1,    86400, 4047b2dbc6634b9346680b26b65afab4
0,          7,          7,        1,    86400, 1abc068f49d787bce26c9e1aca4013f7
0,          8,          8,        1,    86400, 7aacd19e841a23dd3d13e1f575408c49
0,          9,          9,        1,    86400, c2b1562c32f45c6989b618239d5f96a9
0,         10,         10,        1,    86400, 9ec2996c34f2088c3ef25699460ed20e
0,         11,         11,        1,    86400, 0e8cad4425262ce1678a6e87d5bd97ea
