#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, 968950a81305cd3bdafb539adebc321f
0,          1,          1,        1,    86400, fcb0ec8dbd3fe57a5eeff179b2aeff87
0,          2,          2,        1,    86400, 5348b8a9f3e3b2ef04c42a1ea4290187
0,          3,          3,        1,    86400, 5df1ac705bbea4db411a42e056d95080
0,          4,          4,        1,    86400, 1bcbe97128703212718f74547fa9e12e
0,          5,          5,        1,    86400, af821d70623a6dc55cb4ac5aae38aeb2
0,          6,          6,        1,    86400, 332fe6361c528d6e3b3d390b255cfcc5
0,          7,          7,        1,    86400, 1e0cab3891be80eb583246ca6a813c30
0,          8,          8,        1,    86400, de2866d30e1d6e1aad29868bfe4fa6e7
0,          9,          9,        1,    86400, c37a36f60d22b5e075b012255294bdd8
0,         10,         10,        1,    86400, 6431b4f8d965f2367ff1ac048d40fac4
0,         11,         11,        1,    86400, 75633846849d32c25151e4ecca249752
