frame,relative_time_seconds,global_time_seconds,pulse,energy_norm
144,6.000000,12.000000,0.333393,0.626971
145,6.041667,12.041667,0.289541,0.622605
146,6.083333,12.083333,0.245318,0.538445
147,6.125000,12.125000,0.203218,0.392538
148,6.166667,12.166667,0.231056,0.389552
149,6.208333,12.208333,0.402112,0.617179
150,6.250000,12.250000,0.410961,0.708979
151,6.291667,12.291667,0.356070,0.660014
152,6.333333,12.333333,0.306459,0.627999
153,6.375000,12.375000,0.259965,0.534186
154,6.416667,12.416667,0.225896,0.462289
155,6.458333,12.458333,0.287521,0.676133
156,6.500000,12.500000,0.519254,0.963130
157,6.541667,12.541667,0.527325,0.983573
158,6.583333,12.583333,0.456138,0.929060
159,6.625000,12.625000,0.391449,0.838696
160,6.666667,12.666667,0.337443,0.768375
161,6.708333,12.708333,0.295182,0.751037
162,6.750000,12.750000,0.259775,0.727508
163,6.791667,12.791667,0.229875,0.703294
164,6.833333,12.833333,0.206171,0.701372
165,6.875000,12.875000,0.187165,0.704886
166,6.916667,12.916667,0.171379,0.713791
167,6.958333,12.958333,0.156475,0.703807
168,7.000000,13.000000,0.142937,0.675936
169,7.041667,13.041667,0.135323,0.692500
170,7.083333,13.083333,0.129912,0.758055
171,7.125000,13.125000,0.107045,0.635408
172,7.166667,13.166667,0.065544,0.264640
173,7.208333,13.208333,0.035665,0.051019
174,7.250000,13.250000,0.024660,0.022259
175,7.291667,13.291667,0.020203,0.017183
176,7.333333,13.333333,0.017137,0.016121
177,7.375000,13.375000,0.014682,0.016222
178,7.416667,13.416667,0.012600,0.015293
179,7.458333,13.458333,0.028768,0.016232
180,7.500000,13.500000,0.236487,0.346633
181,7.541667,13.541667,0.749735,0.881936
182,7.583333,13.583333,0.796527,0.949906
183,7.625000,13.625000,0.679262,0.873144
184,7.666667,13.666667,0.566801,0.708348
185,7.708333,13.708333,0.457561,0.417405
186,7.750000,13.750000,0.362211,0.134329
187,7.791667,13.791667,0.292535,0.022714
188,7.833333,13.833333,0.242699,0.003234
189,7.875000,13.875000,0.203542,0.000552
190,7.916667,13.916667,0.187697,0.001950
191,7.958333,13.958333,0.346562,0.421530
192,8.000000,14.000000,0.773951,0.916611
193,8.041667,14.041667,0.795873,0.952956
194,8.083333,14.083333,0.676292,0.860343
195,8.125000,14.125000,0.561046,0.666311
196,8.166667,14.166667,0.450584,0.357776
197,8.208333,14.208333,0.363008,0.102837
198,8.250000,14.250000,0.323379,0.262661
199,8.291667,14.291667,0.307707,0.636005
200,8.333333,14.333333,0.263384,0.542609
201,8.375000,14.375000,0.214848,0.231065
202,8.416667,14.416667,0.344352,0.546455
203,8.458333,14.458333,0.769381,0.945221
204,8.500000,14.500000,0.790614,0.946501
205,8.541667,14.541667,0.670680,0.846666
206,8.583333,14.583333,0.559689,0.659484
207,8.625000,14.625000,0.469261,0.499301
208,8.666667,14.666667,0.410935,0.610974
209,8.708333,14.708333,0.358388,0.650881
210,8.750000,14.750000,0.296109,0.467126
211,8.791667,14.791667,0.315845,0.301005
212,8.833333,14.833333,0.541038,0.533173
213,8.875000,14.875000,0.566366,0.835379
214,8.916667,14.916667,0.508692,0.985739
215,8.958333,14.958333,0.443051,0.942302
216,9.000000,15.000000,0.378153,0.818967
217,9.041667,15.041667,0.325061,0.743857
218,9.083333,15.083333,0.284471,0.733681
219,9.125000,15.125000,0.250393,0.695307
220,9.166667,15.166667,0.226582,0.718084
221,9.208333,15.208333,0.211346,0.795259
222,9.250000,15.250000,0.196261,0.820067
223,9.291667,15.291667,0.181278,0.819933
224,9.333333,15.333333,0.168264,0.827923
225,9.375000,15.375000,0.155696,0.807422
226,9.416667,15.416667,0.145793,0.803511
227,9.458333,15.458333,0.138755,0.810680
228,9.500000,15.500000,0.131979,0.825789
229,9.541667,15.541667,0.120089,0.755944
230,9.583333,15.583333,0.106097,0.694893
231,9.625000,15.625000,0.085322,0.549365
232,9.666667,15.666667,0.062142,0.347085
233,9.708333,15.708333,0.051899,0.290852
234,9.750000,15.750000,0.057153,0.346800
235,9.791667,15.791667,0.075870,0.554890
236,9.833333,15.833333,0.089382,0.715958
237,9.875000,15.875000,0.102339,0.636758
238,9.916667,15.916667,0.227620,0.751802
239,9.958333,15.958333,0.472547,0.969971
240,10.000000,16.000000,0.482669,0.962978
241,10.041667,16.041667,0.415015,0.869151
242,10.083333,16.083333,0.358606,0.800206
243,10.125000,16.125000,0.317114,0.816324
244,10.166667,16.166667,0.283589,0.830918
245,10.208333,16.208333,0.253545,0.828134
246,10.250000,16.250000,0.223540,0.792032
247,10.291667,16.291667,0.190200,0.676919
248,10.333333,16.333333,0.187780,0.539487
249,10.375000,16.375000,0.345118,0.771306
250,10.416667,16.416667,0.612232,0.993683
251,10.458333,16.458333,0.605336,0.945296
252,10.500000,16.500000,0.514307,0.828048
253,10.541667,16.541667,0.436816,0.719492
254,10.583333,16.583333,0.377344,0.695450
255,10.625000,16.625000,0.332213,0.708675
256,10.666667,16.666667,0.297621,0.758830
257,10.708333,16.708333,0.266305,0.783675
258,10.750000,16.750000,0.233636,0.723504
259,10.791667,16.791667,0.206080,0.684789
260,10.833333,16.833333,0.185543,0.686735
261,10.875000,16.875000,0.168151,0.675481
262,10.916667,16.916667,0.153783,0.671473
263,10.958333,16.958333,0.143416,0.673253
264,11.000000,17.000000,0.139198,0.730210
265,11.041667,17.041667,0.136271,0.783907
266,11.083333,17.083333,0.130006,0.781602
267,11.125000,17.125000,0.122988,0.766343
268,11.166667,17.166667,0.117610,0.767257
269,11.208333,17.208333,0.113810,0.756656
270,11.250000,17.250000,0.117240,0.807783
271,11.291667,17.291667,0.127519,0.955322
272,11.333333,17.333333,0.129496,0.989963
273,11.375000,17.375000,0.120632,0.923809
274,11.416667,17.416667,0.106621,0.809058
275,11.458333,17.458333,0.095209,0.714413
276,11.500000,17.500000,0.091255,0.704497
277,11.541667,17.541667,0.090155,0.707782
278,11.583333,17.583333,0.088791,0.702557
279,11.625000,17.625000,0.087671,0.694554
280,11.666667,17.666667,0.088223,0.709926
281,11.708333,17.708333,0.088551,0.717008
282,11.750000,17.750000,0.088128,0.715339
283,11.791667,17.791667,0.088090,0.714518
284,11.833333,17.833333,0.090146,0.734081
285,11.875000,17.875000,0.091290,0.774611
286,11.916667,17.916667,0.076972,0.675718
287,11.958333,17.958333,0.043481,0.333899
288,12.000000,18.000000,0.018248,0.105997
289,12.041667,18.041667,0.012333,0.096959
290,12.083333,18.083333,0.011209,0.089066
291,12.125000,18.125000,0.010126,0.079109
292,12.166667,18.166667,0.009380,0.076443
293,12.208333,18.208333,0.008206,0.064853
294,12.250000,18.250000,0.012478,0.057327
295,12.291667,18.291667,0.187264,0.295929
296,12.333333,18.333333,0.729580,0.823605
297,12.375000,18.375000,0.794890,0.976733
298,12.416667,18.416667,0.682981,0.916338
299,12.458333,18.458333,0.582077,0.831322
300,12.500000,18.500000,0.496802,0.754474
301,12.541667,18.541667,0.428462,0.722313
302,12.583333,18.583333,0.375161,0.740160
303,12.625000,18.625000,0.330727,0.755114
304,12.666667,18.666667,0.291085,0.740216
305,12.708333,18.708333,0.258367,0.719385
306,12.750000,18.750000,0.239310,0.786955
307,12.791667,18.791667,0.230416,0.940580
308,12.833333,18.833333,0.215647,0.970280
309,12.875000,18.875000,0.193529,0.914361
310,12.916667,18.916667,0.168217,0.805200
311,12.958333,18.958333,0.146280,0.704267
312,13.000000,19.000000,0.133923,0.683614
313,13.041667,19.041667,0.131167,0.728860
314,13.083333,19.083333,0.133077,0.833417
315,13.125000,19.125000,0.126647,0.817840
316,13.166667,19.166667,0.116609,0.734115
317,13.208333,19.208333,0.119626,0.803845
318,13.250000,19.250000,0.130081,0.965272
319,13.291667,19.291667,0.128639,0.961905
320,13.333333,19.333333,0.118205,0.877084
321,13.375000,19.375000,0.108576,0.809427
322,13.416667,19.416667,0.103487,0.781903
323,13.458333,19.458333,0.101783,0.789864
324,13.500000,19.500000,0.099334,0.775784
325,13.541667,19.541667,0.096429,0.759697
326,13.583333,19.583333,0.093749,0.742834
327,13.625000,19.625000,0.094245,0.733792
328,13.666667,19.666667,0.104689,0.838516
329,13.708333,19.708333,0.117606,0.986284
330,13.750000,19.750000,0.117653,0.977318
331,13.791667,19.791667,0.108155,0.883035
332,13.833333,19.833333,0.098984,0.803865
333,13.875000,19.875000,0.093247,0.768815
334,13.916667,19.916667,0.088408,0.718577
335,13.958333,19.958333,0.088274,0.717948
336,14.000000,20.000000,0.092781,0.772374
337,14.041667,20.041667,0.095406,0.795036
338,14.083333,20.083333,0.095116,0.787310
339,14.125000,20.125000,0.094238,0.783568
340,14.166667,20.166667,0.092936,0.768039
341,14.208333,20.208333,0.093363,0.770117
