frame,relative_time_seconds,global_time_seconds,pulse,assisted_low_band_energy_norm
0,0.000000,6.000000,0.000000,0.000000
1,0.041667,6.041667,0.000000,0.104679
2,0.083333,6.083333,0.000000,0.006194
3,0.125000,6.125000,0.000000,0.022660
4,0.166667,6.166667,0.000000,0.018291
5,0.208333,6.208333,0.000000,0.086936
6,0.250000,6.250000,0.000000,0.035002
7,0.291667,6.291667,0.000000,0.119553
8,0.333333,6.333333,0.000000,0.871361
9,0.375000,6.375000,0.927321,0.744906
10,0.416667,6.416667,0.752926,0.007287
11,0.458333,6.458333,0.611328,0.000000
12,0.500000,6.500000,0.496359,0.001865
13,0.541667,6.541667,0.403012,0.002347
14,0.583333,6.583333,0.327220,0.001026
15,0.625000,6.625000,0.265682,0.017223
16,0.666667,6.666667,0.215717,0.003503
17,0.708333,6.708333,0.175148,0.000000
18,0.750000,6.750000,0.142209,0.353834
19,0.791667,6.791667,0.115465,1.000000
20,0.833333,6.833333,0.851099,0.510598
21,0.875000,6.875000,0.691038,0.000000
22,0.916667,6.916667,0.561079,0.000000
23,0.958333,6.958333,0.455561,0.000000
24,1.000000,7.000000,0.369886,0.000000
25,1.041667,7.041667,0.300324,0.032302
26,1.083333,7.083333,0.243844,0.491897
27,1.125000,7.125000,0.197986,0.201092
28,1.166667,7.166667,0.160752,0.000000
29,1.208333,7.208333,0.130520,0.000677
30,1.250000,7.250000,0.105974,0.034465
31,1.291667,7.291667,0.609191,0.133991
32,1.333333,7.333333,0.494625,0.052384
33,1.375000,7.375000,0.401604,0.013727
34,1.416667,7.416667,0.326077,0.015640
35,1.458333,7.458333,0.264753,0.000000
36,1.500000,7.500000,0.214963,0.000000
37,1.541667,7.541667,0.174536,0.105177
38,1.583333,7.583333,0.141712,0.025085
39,1.625000,7.625000,0.115061,0.000000
40,1.666667,7.666667,0.093423,0.618203
41,1.708333,7.708333,0.991703,0.997028
42,1.750000,7.750000,0.805200,0.141366
43,1.791667,7.791667,0.653771,0.000000
44,1.833333,7.833333,0.530820,0.000000
45,1.875000,7.875000,0.430992,0.036223
46,1.916667,7.916667,0.349938,0.016652
47,1.958333,7.958333,0.284128,0.018704
48,2.000000,8.000000,0.230694,0.009885
49,2.041667,8.041667,0.187308,0.000000
50,2.083333,8.083333,0.152083,0.008954
51,2.125000,8.125000,0.123481,0.023006
52,2.166667,8.166667,0.100259,0.000000
53,2.208333,8.208333,0.081404,0.004074
54,2.250000,8.250000,0.066095,0.043707
55,2.291667,8.291667,0.564487,0.013904
56,2.333333,8.333333,0.458327,0.000000
57,2.375000,8.375000,0.372133,0.000000
58,2.416667,8.416667,0.302148,0.000000
59,2.458333,8.458333,0.245325,0.000000
60,2.500000,8.500000,0.199188,0.009690
61,2.541667,8.541667,0.161728,0.050228
62,2.583333,8.583333,0.131313,0.147688
63,2.625000,8.625000,0.106618,0.292998
64,2.666667,8.666667,0.086567,0.253227
65,2.708333,8.708333,0.070287,0.409844
66,2.750000,8.750000,0.057068,0.705864
67,2.791667,8.791667,0.860112,0.229431
68,2.833333,8.833333,0.698356,0.000000
69,2.875000,8.875000,0.567021,0.000000
70,2.916667,8.916667,0.460385,0.000000
71,2.958333,8.958333,0.373803,0.000000
72,3.000000,9.000000,0.303504,0.000000
73,3.041667,9.041667,0.246426,0.026597
74,3.083333,9.083333,0.200082,0.042076
75,3.125000,9.125000,0.162454,0.028600
76,3.166667,9.166667,0.131902,0.942043
77,3.208333,9.208333,0.925014,1.000000
78,3.250000,9.250000,0.751052,0.118763
79,3.291667,9.291667,0.609807,0.000000
80,3.333333,9.333333,0.495124,0.000000
81,3.375000,9.375000,0.402009,0.000000
82,3.416667,9.416667,0.326406,0.000000
83,3.458333,9.458333,0.265021,0.117238
84,3.500000,9.500000,0.215180,0.500907
85,3.541667,9.541667,0.174713,0.000000
86,3.583333,9.583333,0.141855,0.000000
87,3.625000,9.625000,0.115178,0.836273
88,3.666667,9.666667,0.953498,0.950369
89,3.708333,9.708333,0.774179,0.051567
90,3.750000,9.750000,0.628584,0.000000
91,3.791667,9.791667,0.510371,0.023748
92,3.833333,9.833333,0.414388,0.016232
93,3.875000,9.875000,0.336457,0.000000
94,3.916667,9.916667,0.273182,0.000000
95,3.958333,9.958333,0.221806,0.000000
96,4.000000,10.000000,0.180092,0.003863
97,4.041667,10.041667,0.146224,0.336455
98,4.083333,10.083333,0.118724,0.981890
99,4.125000,10.125000,0.875124,0.694156
100,4.166667,10.166667,0.710545,0.008854
101,4.208333,10.208333,0.576917,0.000000
102,4.250000,10.250000,0.468420,0.015306
103,4.291667,10.291667,0.380327,0.000846
104,4.333333,10.333333,0.308801,0.010239
105,4.375000,10.375000,0.250727,0.037010
106,4.416667,10.416667,0.203574,0.002645
107,4.458333,10.458333,0.165290,0.000000
108,4.500000,10.500000,0.134205,0.002723
109,4.541667,10.541667,0.108966,0.030206
110,4.583333,10.583333,0.088473,0.000000
111,4.625000,10.625000,0.071835,0.004312
112,4.666667,10.666667,0.058325,0.036383
113,4.708333,10.708333,0.047356,0.000000
114,4.750000,10.750000,0.038450,0.000000
115,4.791667,10.791667,0.031219,0.000000
116,4.833333,10.833333,0.025348,0.004837
