frame,relative_time_seconds,global_time_seconds,pulse,energy_norm
144,6.000000,12.000000,0.267617,0.626971
145,6.041667,12.041667,0.282239,0.622605
146,6.083333,12.083333,0.369714,0.538445
147,6.125000,12.125000,0.488444,0.392538
148,6.166667,12.166667,0.663916,0.389552
149,6.208333,12.208333,0.779491,0.617179
150,6.250000,12.250000,0.666668,0.708979
151,6.291667,12.291667,0.564259,0.660014
152,6.333333,12.333333,0.478720,0.627999
153,6.375000,12.375000,0.402800,0.534186
154,6.416667,12.416667,0.339397,0.462289
155,6.458333,12.458333,0.302557,0.676133
156,6.500000,12.500000,0.278022,0.963130
157,6.541667,12.541667,0.361070,0.983573
158,6.583333,12.583333,0.471926,0.929060
159,6.625000,12.625000,0.623753,0.838696
160,6.666667,12.666667,0.668476,0.768375
161,6.708333,12.708333,0.568244,0.751037
162,6.750000,12.750000,0.483449,0.727508
163,6.791667,12.791667,0.411903,0.703294
164,6.833333,12.833333,0.352865,0.701372
165,6.875000,12.875000,0.303545,0.704886
166,6.916667,12.916667,0.262442,0.713791
167,6.958333,12.958333,0.271005,0.703807
168,7.000000,13.000000,0.355773,0.675936
169,7.041667,13.041667,0.475866,0.692500
170,7.083333,13.083333,0.643899,0.758055
171,7.125000,13.125000,0.646285,0.635408
172,7.166667,13.166667,0.527112,0.264640
173,7.208333,13.208333,0.432817,0.051019
174,7.250000,13.250000,0.362598,0.022259
175,7.291667,13.291667,0.304717,0.017183
176,7.333333,13.333333,0.256253,0.016121
177,7.375000,13.375000,0.223433,0.016222
178,7.416667,13.416667,0.307429,0.015293
179,7.458333,13.458333,0.423296,0.016232
180,7.500000,13.500000,0.602688,0.346633
181,7.541667,13.541667,0.854665,0.881936
182,7.583333,13.583333,0.819948,0.949906
183,7.625000,13.625000,0.693745,0.873144
184,7.666667,13.666667,0.581641,0.708348
185,7.708333,13.708333,0.478258,0.417405
186,7.750000,13.750000,0.389042,0.134329
187,7.791667,13.791667,0.321625,0.022714
188,7.833333,13.833333,0.269414,0.003234
189,7.875000,13.875000,0.319251,0.000552
190,7.916667,13.916667,0.439946,0.001950
191,7.958333,13.958333,0.631303,0.421530
