#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, 759e78b8539de13559c65715fc879d94
0,          1,          1,        1,    86400, d4cd380311b776da7f7d71746bf4e651
0,          2,          2,        1,    86400, 27bfc4ecb3a5ab73e594f684eba0d3e1
0,          3,          3,        1,    86400, 0c2509361925a34a02e528344730a6f7
0,          4,          4,        1,    86400, 3c14d3750383353016e44cd28b7955f5
0,          5,          5,        1,    86400, 46cd0bbbcdf8dafed0296c33c486c0c0
0,          6,          6,        1,    86400, 72a7c416ed6434736d25ec269f1f9d5f
0,          7,          7,        1,    86400, 72dfa53e07e3487ece8606b52216959a
0,          8,          8,        1,    86400, a714cfe35611eb50fc1cb3f449a8ab8f
0,          9,          9,        1,    86400, 6aa99842a42c85cfb6184dd86654703e
0,         10,         10,        1,    86400, d68e38b4aba10a112cec0ba140651d3b
0,         11,         11,        1,    86400, 3cc32904bf0594138a4d4674cde07a19
