#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, a1146b18931bf99118a264ecd78ede3c
0,          1,          1,        1,    86400, 99a9ded7960625ecffb705242581e43c
0,          2,          2,        1,    86400, c4f1488318fbba7cfc884acb93c02e04
0,          3,          3,        1,    86400, 0cc0605accbbb046331195a2054bd672
0,          4,          4,        1,    86400, 5b968a297f93f2caadda801150d674fe
0,          5,          5,        1,    86400, 2700ddab17f9e5cabd773f6c5255bf48
0,          6,          6,        1,    86400, deec3edd0bd75f9a03362873234f2bc8
0,          7,          7,        1,    86400, fa252c16f3a21c44b6fe20ab557dfc08
