#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, bb6d664ed3bb24b5977e7b4a58a6f4f2
0,          1,          1,        1,    86400, be7b9f76b0825ad9f3e07a0bc942f75e
0,          2,          2,        1,    86400, 94162a6ab2e59b801b8c02ae3b402639
0,          3,          3,        1,    86400, bb66f90fed60229495773e0176ec2165
0,          4,          4,        1,    86400, ee6c989aae5c23e419b80dd3717c6d40
0,          5,          5,        1,    86400, 85ab25ffd516f5f723714fb78928f180
0,          6,          6,        1,    86400, 93c1db990c0619508326846f65ab27cf
0,          7,          7,        1,    86400, 3fdbbd4aa2bfae45f44305d2c2f516ee
0,          8,          8,        1,    86400, ec7a4937b5116b7a68f7e24ddf7e76f4
0,          9,          9,        1,    86400, 4c826d8cda4b2ce7a04d74facd739557
0,         10,         10,        1,    86400, 7c9e3304894cf7a84fd01c68b511a237
0,         11,         11,        1,    86400, 6da0fd11316888b7632f1aa07b7ec88e
