#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, 107679cf25a25e8e10533efa3f43b4fc
0,          1,          1,        1,    86400, 2408809800f258786b8e738bec3d3ea2
0,          2,          2,        1,    86400, 1ae19685770f1133250d5a5900e252ce
0,          3,          3,        1,    86400, 328e6a24cc58ba739910a9980366787e
0,          4,          4,        1,    86400, 480cc0674bb8dd68e10229796bc86bf5
0,          5,          5,        1,    86400, 68f4f4cb3fbccc7da8249864156e2396
0,          6,          6,        1,    86400, c9ad3a4ceb804ee038d280357ad58dd8
0,          7,          7,        1,    86400, c3af992099a8a8aa59c18374cfc27123
0,          8,          8,        1,    86400, 4267e30040f492d318c446544297ab5a
0,          9,          9,        1,    86400, 8c6acfd61db7d0e1aee57360bf76bd30
0,         10,         10,        1,    86400, 29c85f290534a2dfcc5dc89e73c0bb36
0,         11,         11,        1,    86400, fc07a7df3091e03313ff8e936ca40112
