#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, a2a5d3ebcbfbc3eb4dacb87ca652bddb
0,          1,          1,        1,    86400, 8e294ddd87d476a760540bddab44b700
0,          2,          2,        1,    86400, d454a1e1c3fc9d1d6de6d5a373629af4
0,          3,          3,        1,    86400, 0eb2198bca348bdde32b65cb366f4530
0,          4,          4,        1,    86400, 0023d6729442d2030fd2ca6fbd1a8c04
0,          5,          5,        1,    86400, 79a45db2e83ffa2a18670bda542bac3e
0,          6,          6,        1,    86400, b8f1694354bad777fb42bf4858625034
0,          7,          7,        1,    86400, e9f79d345ec468668f991ab0b21984b3
0,          8,          8,        1,    86400, aec280fb20aee039bc0fec2d8768136e
0,          9,          9,        1,    86400, 96adcc914654985b8e68d1822449b3da
0,         10,         10,        1,    86400, ddba4882e83ace16cbf2711b9d6bc377
0,         11,         11,        1,    86400, af1e3dd49f1e5532949c000a28aa479a
