#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, b9c3dcec6bcb165ae028910fbaee18cc
0,          1,          1,        1,    86400, 098aa0fc46a686e65f35900d1de77fea
0,          2,          2,        1,    86400, 31ee961601f7e72cc8cf44bcc69454a7
0,          3,          3,        1,    86400, 4cba7beb2c1a5609c371e6223b775827
0,          4,          4,        1,    86400, a42031412a92abd081460da8849cd575
0,          5,          5,        1,    86400, a14d4c3a9ce16fd090d659216be60d2b
0,          6,          6,        1,    86400, 43eadceec00cb5a0ece7d740147ab873
0,          7,          7,        1,    86400, 7e8e8aeddce0a708a905ff4da79c93ae
0,          8,          8,        1,    86400, 01156dccdb60961ca089455d40b58ba6
0,          9,          9,        1,    86400, 54e5392afb5207cb3f515788cdf1175d
0,         10,         10,        1,    86400, 63ed903fc1a2e0a398361581488fccb7
0,         11,         11,        1,    86400, 1fb962479cc41c0c6e2e8636d2444d85
