#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, 5cd535f6d0be2db4fbd09a3dc6fa7550
0,          1,          1,        1,    86400, 52e1f54e3c4c11d05668096a7731d6d7
0,          2,          2,        1,    86400, d55dbee283c5f8c6b805c0c55720f528
0,          3,          3,        1,    86400, 01d2f6a7866a7d131228afb700dd34d4
0,          4,          4,        1,    86400, 1b0367ed460e26df926f85316e3014db
0,          5,          5,        1,    86400, 710a6093830a06cee388dc98954a574f
0,          6,          6,        1,    86400, 39ab5d6efeb7d9a626035dbfe173f0dc
0,          7,          7,        1,    86400, fe07d37ca402b464fed0fc4d3c30cd0a
0,          8,          8,        1,    86400, 39cca95123a1b8ca338c0036283dd356
0,          9,          9,        1,    86400, f59a1e2eda33d25a7ef9bbe802be486e
0,         10,         10,        1,    86400, f864dd0bf182574fed550a630464851a
0,         11,         11,        1,    86400, 60fea29f19efb9336eda4ccf4799a95e
