#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, 8a12817720f91e8808731ce41b1e1e24
0,          1,          1,        1,    86400, ae7b2b8d3a9ad1627c15eb75ecdf04a6
0,          2,          2,        1,    86400, b5e65b84a1b5146dce8a21f06c7e98b5
0,          3,          3,        1,    86400, a7e93e8dfa92415b49f26d7320fca594
0,          4,          4,        1,    86400, 22ba023d6c876c3c83e7604a7b5d3f0b
0,          5,          5,        1,    86400, 05c0b471e860b7d4ce1cc0b5244c1c4d
0,          6,          6,        1,    86400, d84414cd4cd9851e16d6726c2036ebe7
0,          7,          7,        1,    86400, 258c898c26a3c314798d1f1eb1174191
