#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, 1f86e2500cec3c71d2898f8967e77b6a
0,          1,          1,        1,    86400, 2a11faf0cbdee4986f4539407589acff
0,          2,          2,        1,    86400, b92bf89f8e498d7a6ba804fdd4d02871
0,          3,          3,        1,    86400, fc45c560ebec48d904bb9ad69f368e58
0,          4,          4,        1,    86400, c199994eceef82a8eab94dd96713ecba
0,          5,          5,        1,    86400, 397d897ebc4a43134e04251fa2a033cd
0,          6,          6,        1,    86400, d539f39f5f688d1fb6787f61792b8bde
0,          7,          7,        1,    86400, 81d018618c8a444244004467aa3f2dcd
0,          8,          8,        1,    86400, bb0723fc0a1dc0d1851852abd392d211
0,          9,          9,        1,    86400, fb2e58de6ca35f60e68a3ab42a589656
0,         10,         10,        1,    86400, 5606b659c12d33f7433f50abff365b34
0,         11,         11,        1,    86400, 97ed2bde49e2fe4dfc07eff4657b1f0d
