#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, ae842235c8bd56c863c52d2505577388
0,          1,          1,        1,    86400, 722d0b7468faf6eb4d8d31bded98c3b1
0,          2,          2,        1,    86400, cce1bce95944efd5bf271c94b2ca8c1f
0,          3,          3,        1,    86400, 905bca56d90386826a6ffa56e14c4846
0,          4,          4,        1,    86400, d96eb3fbc1861c2215d31ae023c5915a
0,          5,          5,        1,    86400, 882421640be0b5165354b74dcc5998fb
0,          6,          6,        1,    86400, e59dc768a685d4be3a5b064f12e643d0
0,          7,          7,        1,    86400, 7b522d1f420541a91fb78d00618085d0
0,          8,          8,        1,    86400, c429f480aeb372a8809419602f6c79de
0,          9,          9,        1,    86400, 2111ec68b6f11def7c5c54d7532576d4
0,         10,         10,        1,    86400, 28480cff1f7dc86058b8277394018703
0,         11,         11,        1,    86400, 90b13e5815fa42668fa40966b80c791e
