#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, 7ca46d49ac94abeca49fa29143b03d4b
0,          1,          1,        1,    86400, c02a3488431bedeb10873d0dc89c6919
0,          2,          2,        1,    86400, 6e4d7c5a8e305c30a845a594e12054b8
0,          3,          3,        1,    86400, 0e857e4de077a614774d884e6f2a9180
0,          4,          4,        1,    86400, fe9603dc6f061fd67e70caf63e78fad8
0,          5,          5,        1,    86400, e2759671ab404db644654cfb62cd978d
0,          6,          6,        1,    86400, 56e2c25cc09413b3dd3fdeaf28b37804
0,          7,          7,        1,    86400, 14cf242feb9180fb43ae67f28c86e8cb
0,          8,          8,        1,    86400, 161f84c3d204aeea7d5dd73219c6571f
0,          9,          9,        1,    86400, 4927b9acb629df17a7c87738c5d3d43e
0,         10,         10,        1,    86400, 63908191ab5e66b4e02d3074f364c1e7
0,         11,         11,        1,    86400, dd930e9d41aafe4a4635625bd7dce951
