#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, 31e739db178e2b08854b320a7eea3f68
0,          1,          1,        1,    86400, 1f8dd4b0e17561a015003770365a514e
0,          2,          2,        1,    86400, bb2dfe07d75657ebcfa6ac05647a8d78
0,          3,          3,        1,    86400, 634d256f81764cda1698fce716e346ad
0,          4,          4,        1,    86400, 46c866fda0f774062eb17d8d6b98248a
0,          5,          5,        1,    86400, f1317c48873da87e6501d1e49205d289
0,          6,          6,        1,    86400, d8eb4dd375c4cc282a7ce540a4abe85b
0,          7,          7,        1,    86400, 78a0304f983151cc01b022190df301a0
