frame,relative_time_seconds,global_time_seconds,pulse,energy_norm
144,6.000000,12.000000,0.172651,0.000000
145,6.041667,12.041667,0.144043,0.014973
146,6.083333,12.083333,0.120176,0.072285
147,6.125000,12.125000,0.100263,0.057578
148,6.166667,12.166667,0.083649,0.058200
149,6.208333,12.208333,0.069789,0.067698
150,6.250000,12.250000,0.061090,0.000128
151,6.291667,12.291667,0.097058,0.000000
152,6.333333,12.333333,0.154203,0.001283
153,6.375000,12.375000,0.244994,0.044525
154,6.416667,12.416667,0.389240,0.098837
155,6.458333,12.458333,0.618415,0.448092
156,6.500000,12.500000,0.982521,0.803490
157,6.541667,12.541667,0.840079,0.279961
158,6.583333,12.583333,0.700880,0.000000
159,6.625000,12.625000,0.584746,0.000000
160,6.666667,12.666667,0.487855,0.014407
161,6.708333,12.708333,0.407018,0.021161
162,6.750000,12.750000,0.339576,0.000000
163,6.791667,12.791667,0.283309,0.011400
164,6.833333,12.833333,0.236366,0.007945
165,6.875000,12.875000,0.197200,0.000000
166,6.916667,12.916667,0.164525,0.023685
167,6.958333,12.958333,0.137263,0.001527
168,7.000000,13.000000,0.114519,0.000000
169,7.041667,13.041667,0.095544,0.015818
170,7.083333,13.083333,0.079712,0.028837
171,7.125000,13.125000,0.066504,0.000000
172,7.166667,13.166667,0.055485,0.000000
173,7.208333,13.208333,0.046291,0.000000
174,7.250000,13.250000,0.038621,0.000000
175,7.291667,13.291667,0.058935,0.000000
176,7.333333,13.333333,0.093635,0.000000
177,7.375000,13.375000,0.148765,0.000788
178,7.416667,13.416667,0.236354,0.005526
179,7.458333,13.458333,0.375513,0.013551
180,7.500000,13.500000,0.596605,0.653548
181,7.541667,13.541667,0.947871,1.000000
182,7.583333,13.583333,0.851965,0.483351
183,7.625000,13.625000,0.710796,0.000000
184,7.666667,13.666667,0.593019,0.000000
185,7.708333,13.708333,0.494757,0.000000
186,7.750000,13.750000,0.412777,0.000000
187,7.791667,13.791667,0.344381,0.000000
188,7.833333,13.833333,0.287318,0.000000
189,7.875000,13.875000,0.251372,0.000000
190,7.916667,13.916667,0.399373,0.000000
191,7.958333,13.958333,0.634514,0.877232
192,8.000000,14.000000,0.996848,1.000000
193,8.041667,14.041667,0.831673,0.252539
194,8.083333,14.083333,0.693867,0.000000
195,8.125000,14.125000,0.578895,0.000000
196,8.166667,14.166667,0.482973,0.000000
197,8.208333,14.208333,0.402946,0.000000
198,8.250000,14.250000,0.336178,0.080612
199,8.291667,14.291667,0.280475,0.491685
200,8.333333,14.333333,0.267344,0.049242
201,8.375000,14.375000,0.424750,0.000000
202,8.416667,14.416667,0.674831,0.637618
203,8.458333,14.458333,0.973106,1.000000
204,8.500000,14.500000,0.811865,0.115330
205,8.541667,14.541667,0.677341,0.000000
206,8.583333,14.583333,0.565107,0.003121
207,8.625000,14.625000,0.471470,0.000000
208,8.666667,14.666667,0.393348,0.000000
209,8.708333,14.708333,0.328172,0.108333
210,8.750000,14.750000,0.273794,0.151369
211,8.791667,14.791667,0.323477,0.000000
212,8.833333,14.833333,0.513933,0.000000
213,8.875000,14.875000,0.816523,0.863081
214,8.916667,14.916667,0.903172,0.909439
215,8.958333,14.958333,0.753519,0.058014
216,9.000000,15.000000,0.628662,0.000000
217,9.041667,15.041667,0.524495,0.002976
218,9.083333,15.083333,0.437587,0.040610
219,9.125000,15.125000,0.365080,0.031984
220,9.166667,15.166667,0.304587,0.013013
221,9.208333,15.208333,0.254118,0.027893
222,9.250000,15.250000,0.212011,0.000000
223,9.291667,15.291667,0.176881,0.012557
224,9.333333,15.333333,0.147572,0.018922
225,9.375000,15.375000,0.123120,0.000000
226,9.416667,15.416667,0.102719,0.016473
227,9.458333,15.458333,0.085699,0.026887
228,9.500000,15.500000,0.071499,0.000000
229,9.541667,15.541667,0.059652,0.000000
230,9.583333,15.583333,0.049768,0.000000
231,9.625000,15.625000,0.041521,0.013435
232,9.666667,15.666667,0.043050,0.027619
233,9.708333,15.708333,0.068398,0.000000
234,9.750000,15.750000,0.108668,0.000000
235,9.791667,15.791667,0.172649,0.077756
236,9.833333,15.833333,0.274301,0.123621
237,9.875000,15.875000,0.435802,0.030271
238,9.916667,15.916667,0.692392,0.755347
239,9.958333,15.958333,0.963373,1.000000
240,10.000000,16.000000,0.803744,0.151076
241,10.041667,16.041667,0.670566,0.000000
242,10.083333,16.083333,0.559455,0.001147
243,10.125000,16.125000,0.466754,0.000000
244,10.166667,16.166667,0.389414,0.005391
245,10.208333,16.208333,0.324889,0.037055
246,10.250000,16.250000,0.271056,0.000000
247,10.291667,16.291667,0.291730,0.000000
248,10.333333,16.333333,0.463493,0.000796
249,10.375000,16.375000,0.736387,0.824973
250,10.416667,16.416667,0.940428,0.949516
251,10.458333,16.458333,0.784601,0.052749
252,10.500000,16.500000,0.654595,0.000000
253,10.541667,16.541667,0.546130,0.000000
254,10.583333,16.583333,0.455637,0.013778
255,10.625000,16.625000,0.380139,0.053988
256,10.666667,16.666667,0.317151,0.051119
257,10.708333,16.708333,0.264600,0.015278
258,10.750000,16.750000,0.220756,0.000000
259,10.791667,16.791667,0.184178,0.000000
260,10.833333,16.833333,0.183489,0.000000
261,10.875000,16.875000,0.291522,0.000000
262,10.916667,16.916667,0.463163,0.056019
263,10.958333,16.958333,0.735861,0.494768
264,11.000000,17.000000,0.899470,0.648601
265,11.041667,17.041667,0.750430,0.123882
266,11.083333,17.083333,0.626085,0.000000
267,11.125000,17.125000,0.522345,0.001389
268,11.166667,17.166667,0.435793,0.020650
269,11.208333,17.208333,0.363583,0.000000
270,11.250000,17.250000,0.303338,0.027695
271,11.291667,17.291667,0.253076,0.305897
272,11.333333,17.333333,0.211142,0.202274
273,11.375000,17.375000,0.176156,0.000000
274,11.416667,17.416667,0.146968,0.000000
275,11.458333,17.458333,0.122615,0.016896
276,11.500000,17.500000,0.102298,0.013709
277,11.541667,17.541667,0.085348,0.008142
278,11.583333,17.583333,0.071206,0.002271
279,11.625000,17.625000,0.059407,0.000000
