#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.3.100
#tb 0: 1/4
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 180x320
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    86400, 5bc1f7dbc4566c58cece4b610a182546
0,          1,          1,        1,    86400, 396e4cbe2ce33871371f74d2e0e2ab97
0,          2,          2,        1,    86400, 37911f506136797efb7c48edd13aa513
0,          3,          3,        1,    86400, c61ed2ba022a37e7d8af0227b94baaf1
0,          4,          4,        1,    86400, 3b9771d158ad2b3236bfc9a8877368a2
0,          5,          5,        1,    86400, 8cf9505b427454e7686a4621de8e11df
0,          6,          6,        1,    86400, 0d71ce92ec32f611f1365423a56843a2
0,          7,          7,        1,    86400, c9b80ac6a3a64c6195a96369a2ee1067
